"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"17.19";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"20.71";"";"12.26";"8.4";"";"";"";"";""
"Fatick";"20.71";"10.93";"12.26";"8.49";"";"";"";"";""
"Kaffrine";"20.71";"10.85";"11.2";"8.18";"";"";"";"";""
"Kaolack";"20.6";"10.85";"11.18";"8.43";"";"";"11.48";"";""
"Kolda";"17.95";"11.6";"12.45";"10.63";"";"";"11.64";"";""
"Kédougou";"17.95";"11.6";"11.25";"";"";"";"11.77";"";""
"Louga";"17.19";"10.85";"11.14";"8.21";"";"";"";"";""
"Matam";"17.19";"11.05";"11.16";"8.12";"";"";"";"";""
"Saint-Louis";"17.19";"11.05";"11.2";"8.37";"";"";"";"";""
"Sédhiou";"17.95";"12.02";"11.3";"10.68";"";"";"11.89";"";""
"Tambacounda";"17.19";"10.89";"11.2";"8.18";"";"";"11.48";"";""
"Thiès";"17.19";"10.85";"11.14";"8.31";"";"";"";"";""
"Ziguinchor";"17.94";"12.02";"11.32";"10.63";"";"";"";"";""
